experiment_id,measurement_id,replicate,receptor_concentration_nM,measured_anisotropy_value,outlier
41,2847,1,1600.0,127.0,False
41,2848,2,1600.0,129.0,False
41,2849,3,1600.0,129.0,False
41,2850,1,3200.0,131.0,False
41,2851,2,3200.0,129.0,False
41,2852,3,3200.0,128.0,False
41,2853,1,6400.0,129.0,False
41,2854,2,6400.0,126.0,False
41,2855,3,6400.0,129.0,False
41,2856,1,12800.0,131.0,False
41,2857,2,12800.0,131.0,False
41,2858,3,12800.0,130.0,False
41,2859,1,25600.0,133.0,False
41,2860,2,25600.0,129.0,False
41,2861,3,25600.0,130.0,False
42,2862,1,0.0,43.0,False
42,2863,2,0.0,45.0,False
42,2864,3,0.0,45.0,False
42,2865,1,1.0,46.0,False
42,2866,2,1.0,43.0,False
42,2867,3,1.0,45.0,False
42,2868,1,3.0,42.0,False
42,2869,2,3.0,42.0,False
42,2870,3,3.0,45.0,False
42,2871,1,6.0,44.0,False
42,2872,2,6.0,42.0,False
42,2873,3,6.0,47.0,False
42,2874,1,12.0,45.0,False
42,2875,2,12.0,47.0,False
42,2876,3,12.0,45.0,False
42,2877,1,25.0,47.0,False
42,2878,2,25.0,45.0,False
42,2879,3,25.0,46.0,False
42,2880,1,50.0,48.0,False
42,2881,2,50.0,49.0,False
42,2882,3,50.0,47.0,False
42,2883,1,100.0,54.0,False
42,2884,2,100.0,53.0,False
42,2885,3,100.0,55.0,False
42,2886,1,200.0,64.0,False
42,2887,2,200.0,60.0,False
42,2888,3,200.0,59.0,False
42,2889,1,400.0,64.0,False
42,2890,2,400.0,68.0,False
42,2891,3,400.0,66.0,False
42,2892,1,800.0,72.0,False
42,2893,2,800.0,72.0,False
42,2894,3,800.0,72.0,False
42,2895,1,1600.0,79.0,False
42,2896,2,1600.0,79.0,False
42,2897,3,1600.0,79.0,False
42,2898,1,3200.0,84.0,False
42,2899,2,3200.0,82.0,False
42,2900,3,3200.0,84.0,False
42,2901,1,6400.0,88.0,False
42,2902,2,6400.0,88.0,False
42,2903,3,6400.0,87.0,False
42,2904,1,12800.0,90.0,False
42,2905,2,12800.0,89.0,False
42,2906,3,12800.0,87.0,False
42,2907,1,25600.0,91.0,False
42,2908,2,25600.0,88.0,False
42,2909,3,25600.0,90.0,False
43,2913,1,0.0,44.0,False
43,2914,2,0.0,44.0,False
43,2915,3,0.0,44.0,False
43,2916,1,1.0,47.0,False
43,2917,2,1.0,43.0,False
43,2918,3,1.0,46.0,False
43,2919,1,3.0,44.0,False
43,2920,2,3.0,45.0,False
43,2921,3,3.0,45.0,False
43,2922,1,6.0,46.0,False
43,2923,2,6.0,44.0,False
43,2924,3,6.0,44.0,False
43,2925,1,12.0,44.0,False
43,2926,2,12.0,45.0,False
43,2927,3,12.0,45.0,False
43,2928,1,25.0,45.0,False
43,2929,2,25.0,47.0,False
43,2930,3,25.0,44.0,False
43,2931,1,50.0,47.0,False
43,2932,2,50.0,44.0,False
43,2933,3,50.0,48.0,False
43,2934,1,100.0,49.0,False
43,2935,2,100.0,49.0,False
43,2936,3,100.0,49.0,False
43,2937,1,200.0,53.0,False
43,2938,2,200.0,54.0,False
43,2939,3,200.0,55.0,False
43,2940,1,400.0,60.0,False
43,2941,2,400.0,59.0,False
43,2942,3,400.0,60.0,False
43,2943,1,800.0,65.0,False
43,2944,2,800.0,65.0,False
43,2945,3,800.0,64.0,False
43,2946,1,1600.0,74.0,False
43,2947,2,1600.0,73.0,False
43,2948,3,1600.0,70.0,False
43,2949,1,3200.0,78.0,False
43,2950,2,3200.0,79.0,False
43,2951,3,3200.0,76.0,False
43,2952,1,6400.0,81.0,False
43,2953,2,6400.0,81.0,False
43,2954,3,6400.0,82.0,False
43,2955,1,12800.0,83.0,False
43,2956,2,12800.0,83.0,False
43,2957,3,12800.0,83.0,False
43,2958,1,25600.0,87.0,False
43,2959,2,25600.0,85.0,False
43,2960,3,25600.0,86.0,False
44,2964,1,0.0,49.0,False
44,2965,2,0.0,45.0,False
44,2966,3,0.0,47.0,False
44,2967,1,1.0,45.0,False
44,2968,2,1.0,46.0,False
44,2969,3,1.0,45.0,False
44,2970,1,3.0,46.0,False
44,2971,2,3.0,47.0,False
44,2972,3,3.0,45.0,False
44,2973,1,6.0,47.0,False
44,2974,2,6.0,48.0,False
44,2975,3,6.0,47.0,False
44,2976,1,12.0,47.0,False
44,2977,2,12.0,48.0,False
44,2978,3,12.0,46.0,False
44,2979,1,25.0,48.0,False
44,2980,2,25.0,49.0,False
44,2981,3,25.0,48.0,False
44,2982,1,50.0,51.0,False
44,2983,2,50.0,50.0,False
44,2984,3,50.0,50.0,False
44,2985,1,100.0,55.0,False
44,2986,2,100.0,54.0,False
44,2987,3,100.0,55.0,False
44,2988,1,200.0,59.0,False
44,2989,2,200.0,60.0,False
44,2990,3,200.0,57.0,False
44,2991,1,400.0,63.0,False
44,2992,2,400.0,62.0,False
44,2993,3,400.0,62.0,False
44,2994,1,800.0,68.0,False
44,2995,2,800.0,71.0,False
44,2996,3,800.0,71.0,False
44,2997,1,1600.0,76.0,False
44,2998,2,1600.0,75.0,False
44,2999,3,1600.0,78.0,False
44,3000,1,3200.0,83.0,False
44,3001,2,3200.0,79.0,False
44,3002,3,3200.0,78.0,False
44,3003,1,6400.0,81.0,False
44,3004,2,6400.0,84.0,False
44,3005,3,6400.0,86.0,False
44,3006,1,12800.0,87.0,False
44,3007,2,12800.0,85.0,False
44,3008,3,12800.0,86.0,False
44,3009,1,25600.0,90.0,False
44,3010,2,25600.0,89.0,False
44,3011,3,25600.0,89.0,False
45,3072,1,0.0,42.0,False
45,3073,2,0.0,40.0,False
45,3074,3,0.0,43.0,False
45,3075,1,0.1,45.0,False
45,3076,2,0.1,41.0,False
45,3077,3,0.1,46.0,False
45,3078,1,0.25,46.0,False
45,3079,2,0.25,46.0,False
45,3080,3,0.25,44.0,False
45,3081,1,0.5,47.0,False
45,3082,2,0.5,46.0,False
45,3083,3,0.5,47.0,False
45,3084,1,1.0,47.0,False
45,3085,2,1.0,56.0,False
45,3086,3,1.0,50.0,False
45,3087,1,3.0,53.0,False
45,3088,2,3.0,86.0,True
45,3089,3,3.0,54.0,False
45,3090,1,6.0,64.0,False
45,3091,2,6.0,78.0,False
45,3092,3,6.0,63.0,False
45,3093,1,12.0,81.0,False
45,3094,2,12.0,82.0,False
45,3095,3,12.0,84.0,False
45,3096,1,25.0,102.0,False
45,3097,2,25.0,101.0,False
45,3098,3,25.0,100.0,False
45,3099,1,50.0,116.0,False
45,3100,2,50.0,113.0,False
45,3101,3,50.0,117.0,False
45,3102,1,100.0,127.0,False
45,3103,2,100.0,131.0,False
45,3104,3,100.0,130.0,False
45,3105,1,200.0,131.0,False
45,3106,2,200.0,133.0,False
45,3107,3,200.0,134.0,False
45,3108,1,400.0,135.0,False
45,3109,2,400.0,134.0,False
45,3110,3,400.0,134.0,False
45,3111,1,800.0,138.0,False
45,3112,2,800.0,135.0,False
45,3113,3,800.0,136.0,False
45,3114,1,1600.0,136.0,False
45,3115,2,1600.0,136.0,False
45,3116,3,1600.0,135.0,False
45,3117,1,3200.0,138.0,False
45,3118,2,3200.0,136.0,False
45,3119,3,3200.0,135.0,False
45,3120,1,6400.0,141.0,False
45,3121,2,6400.0,140.0,False
45,3122,3,6400.0,137.0,False
45,3123,1,12800.0,139.0,False
45,3124,2,12800.0,138.0,False
45,3125,3,12800.0,137.0,False
45,3126,1,25600.0,138.0,False
45,3127,2,25600.0,140.0,False
45,3128,3,25600.0,138.0,False
62,3507,1,0.0,46.0,False
62,3508,2,0.0,46.0,False
62,3509,3,0.0,45.0,False
62,3510,1,0.1,46.0,False
62,3511,2,0.1,47.0,False
62,3512,3,0.1,45.0,False
62,3513,1,0.25,49.0,False
62,3514,2,0.25,45.0,False
62,3515,3,0.25,44.0,False
62,3516,1,0.5,51.0,False
62,3517,2,0.5,46.0,False
62,3518,3,0.5,44.0,False
62,3519,1,1.0,48.0,False
62,3520,2,1.0,48.0,False
62,3521,3,1.0,48.0,False
62,3522,1,3.0,56.0,False
62,3523,2,3.0,58.0,False
62,3524,3,3.0,63.0,False
62,3525,1,6.0,65.0,False
62,3526,2,6.0,67.0,False
62,3527,3,6.0,67.0,False
62,3528,1,12.0,86.0,False
62,3529,2,12.0,83.0,False
62,3530,3,12.0,79.0,False
62,3531,1,25.0,107.0,False
62,3532,2,25.0,110.0,False
62,3533,3,25.0,107.0,False
62,3534,1,50.0,123.0,False
62,3535,2,50.0,122.0,False
62,3536,3,50.0,121.0,False
62,3537,1,100.0,128.0,False
62,3538,2,100.0,129.0,False
62,3539,3,100.0,130.0,False
62,3540,1,200.0,137.0,False
62,3541,2,200.0,132.0,False
62,3542,3,200.0,132.0,False
62,3543,1,400.0,135.0,False
62,3544,2,400.0,137.0,False
62,3545,3,400.0,134.0,False
62,3546,1,800.0,138.0,False
62,3547,2,800.0,139.0,False
62,3548,3,800.0,137.0,False
62,3549,1,1600.0,139.0,False
62,3550,2,1600.0,136.0,False
62,3551,3,1600.0,137.0,False
62,3552,1,3200.0,137.0,False
62,3553,2,3200.0,138.0,False
62,3554,3,3200.0,136.0,False
62,3555,1,6400.0,136.0,False
62,3556,2,6400.0,137.0,False
62,3557,3,6400.0,135.0,False
62,3558,1,12800.0,142.0,False
62,3559,2,12800.0,144.0,False
62,3560,3,12800.0,138.0,False
62,3561,1,25600.0,139.0,False
62,3562,2,25600.0,137.0,False
62,3563,3,25600.0,138.0,False
63,3363,1,0.0,50.0,False
63,3364,2,0.0,50.0,False
63,3365,3,0.0,45.0,False
63,3366,1,1.0,49.0,False
63,3367,2,1.0,50.0,False
63,3368,3,1.0,47.0,False
63,3369,1,3.0,48.0,False
63,3370,2,3.0,48.0,False
63,3371,3,3.0,46.0,False
63,3372,1,6.0,47.0,False
63,3373,2,6.0,48.0,False
63,3374,3,6.0,53.0,False
63,3375,1,12.0,55.0,False
63,3376,2,12.0,50.0,False
63,3377,3,12.0,52.0,False
63,3378,1,25.0,51.0,False
63,3379,2,25.0,54.0,False
63,3380,3,25.0,52.0,False
63,3381,1,50.0,61.0,False
63,3382,2,50.0,60.0,False
63,3383,3,50.0,61.0,False
63,3384,1,100.0,68.0,False
63,3385,2,100.0,69.0,False
63,3386,3,100.0,67.0,False
63,3387,1,200.0,88.0,False
63,3388,2,200.0,83.0,False
63,3389,3,200.0,88.0,False
63,3390,1,400.0,101.0,False
63,3391,2,400.0,95.0,False
63,3392,3,400.0,100.0,False
63,3393,1,800.0,113.0,False
63,3394,2,800.0,107.0,False
63,3395,3,800.0,111.0,False
63,3396,1,1600.0,118.0,False
63,3397,2,1600.0,118.0,False
63,3398,3,1600.0,116.0,False
63,3399,1,3200.0,121.0,False
63,3400,2,3200.0,122.0,False
63,3401,3,3200.0,122.0,False
63,3402,1,6400.0,125.0,False
63,3403,2,6400.0,127.0,False
63,3404,3,6400.0,124.0,False
63,3405,1,12800.0,127.0,False
63,3406,2,12800.0,125.0,False
63,3407,3,12800.0,125.0,False
63,3408,1,25600.0,125.0,False
63,3409,2,25600.0,128.0,False
63,3410,3,25600.0,123.0,False
65,3459,1,0.0,48.0,False
65,3460,2,0.0,46.0,False
65,3461,3,0.0,46.0,False
65,3462,1,1.0,49.0,False
65,3463,2,1.0,48.0,False
65,3464,3,1.0,47.0,False
65,3465,1,3.0,48.0,False
65,3466,2,3.0,46.0,False
65,3467,3,3.0,49.0,False
65,3468,1,6.0,49.0,False
65,3469,2,6.0,49.0,False
65,3470,3,6.0,48.0,False
65,3471,1,12.0,49.0,False
65,3472,2,12.0,48.0,False
65,3473,3,12.0,49.0,False
65,3474,1,25.0,52.0,False
65,3475,2,25.0,52.0,False
65,3476,3,25.0,49.0,False
65,3477,1,50.0,56.0,False
65,3478,2,50.0,54.0,False
65,3479,3,50.0,54.0,False
65,3480,1,100.0,58.0,False
65,3481,2,100.0,59.0,False
65,3482,3,100.0,59.0,False
65,3483,1,200.0,65.0,False
65,3484,2,200.0,65.0,False
65,3485,3,200.0,65.0,False
65,3486,1,400.0,69.0,False
65,3487,2,400.0,68.0,False
65,3488,3,400.0,71.0,False
65,3489,1,800.0,74.0,False
65,3490,2,800.0,73.0,False
65,3491,3,800.0,74.0,False
65,3492,1,1600.0,80.0,False
65,3493,2,1600.0,79.0,False
65,3494,3,1600.0,79.0,False
65,3495,1,3200.0,84.0,False
65,3496,2,3200.0,88.0,False
65,3497,3,3200.0,82.0,False
65,3498,1,6400.0,86.0,False
65,3499,2,6400.0,83.0,False
65,3500,3,6400.0,86.0,False
65,3501,1,12800.0,88.0,False
65,3502,2,12800.0,87.0,False
65,3503,3,12800.0,89.0,False
65,3504,1,25600.0,91.0,False
65,3505,2,25600.0,90.0,False
65,3506,3,25600.0,90.0,False
66,3715,1,0.0,45.0,False
66,3716,2,0.0,43.0,False
66,3717,3,0.0,45.0,False
66,3718,1,0.1,45.0,False
66,3719,2,0.1,42.0,False
66,3720,3,0.1,41.0,False
66,3721,1,0.25,47.0,False
66,3722,2,0.25,46.0,False
66,3723,3,0.25,46.0,False
66,3724,1,0.5,46.0,False
66,3725,2,0.5,45.0,False
66,3726,3,0.5,42.0,False
66,3727,1,1.0,49.0,False
66,3728,2,1.0,49.0,False
66,3729,3,1.0,47.0,False
66,3730,1,3.0,55.0,False
66,3731,2,3.0,51.0,False
66,3732,3,3.0,55.0,False
66,3733,1,6.0,65.0,False
66,3734,2,6.0,60.0,False
66,3735,3,6.0,67.0,False
66,3736,1,12.0,82.0,False
66,3737,2,12.0,82.0,False
66,3738,3,12.0,78.0,False
66,3739,1,25.0,96.0,False
66,3740,2,25.0,99.0,False
66,3741,3,25.0,100.0,False
66,3742,1,50.0,111.0,False
66,3743,2,50.0,112.0,False
66,3744,3,50.0,114.0,False
66,3745,1,100.0,127.0,False
66,3746,2,100.0,126.0,False
66,3747,3,100.0,128.0,False
66,3748,1,200.0,130.0,False
66,3749,2,200.0,132.0,False
66,3750,3,200.0,131.0,False
66,3751,1,400.0,136.0,False
66,3752,2,400.0,136.0,False
66,3753,3,400.0,138.0,False
66,3754,1,800.0,137.0,False
66,3755,2,800.0,139.0,False
66,3756,3,800.0,135.0,False
66,3757,1,1600.0,133.0,False
66,3758,2,1600.0,139.0,False
66,3759,3,1600.0,138.0,False
66,3760,1,3200.0,139.0,False
66,3761,2,3200.0,139.0,False
66,3762,3,3200.0,138.0,False
66,3763,1,6400.0,139.0,False
66,3764,2,6400.0,138.0,False
66,3765,3,6400.0,143.0,False
66,3766,1,12800.0,141.0,False
66,3767,2,12800.0,143.0,False
66,3768,3,12800.0,141.0,False
